Time,Short@,Long@,Short(%),Long(%),AbsSpread(%),GrossPnL,BorrowCost(0.0067%/h),NetPnL,ROI(%),ROI_day(%),BelowMin
2025-08-21 07:05:00,Gate,Hyperliquid,0.0045,-0.1431,0.1476,7.38,2.68(0.0536%),4.7,0.47,1.41,False
2025-08-21 07:05:00,BingX,Hyperliquid,-0.011,-0.1431,0.1321,6.6,2.68(0.0536%),3.92,0.3925,1.18,False
2025-08-21 07:05:00,OKX,Hyperliquid,-0.0192,-0.1431,0.1239,6.2,2.68(0.0536%),3.52,0.3515,1.05,False
2025-08-21 07:05:00,KuCoin,Hyperliquid,-0.0332,-0.1431,0.1099,5.5,2.68(0.0536%),2.81,0.2815,0.84,False
2025-08-21 07:05:00,Bitget,Hyperliquid,-0.0358,-0.1431,0.1073,5.37,2.68(0.0536%),2.69,0.2685,0.81,False
2025-08-21 04:00:00,OKX,CoinEx,0.005,-0.0658,0.0708,3.54,2.68(0.0536%),0.86,0.086,0.26,False
2025-08-21 04:00:00,Bitget,CoinEx,0.005,-0.0658,0.0708,3.54,2.68(0.0536%),0.86,0.086,0.26,False
2025-08-21 04:00:00,Gate,CoinEx,0.005,-0.0658,0.0708,3.54,2.68(0.0536%),0.86,0.086,0.26,False
2025-08-21 04:00:00,BingX,CoinEx,0.005,-0.0658,0.0708,3.54,2.68(0.0536%),0.86,0.086,0.26,False
2025-08-21 04:00:00,Bybit,CoinEx,0.0025,-0.0658,0.0683,3.42,2.68(0.0536%),0.73,0.0735,0.22,False
2025-08-20 20:00:00,Bitget,Hyperliquid,0.005,-0.0351,0.0401,2.0,2.68(0.0536%),-0.68,-0.0675,-0.2,False
2025-08-20 20:00:00,Gate,Hyperliquid,0.005,-0.0351,0.0401,2.0,2.68(0.0536%),-0.68,-0.0675,-0.2,False
2025-08-20 20:00:00,OKX,Hyperliquid,0.005,-0.0351,0.0401,2.0,2.68(0.0536%),-0.68,-0.0675,-0.2,False
2025-08-20 20:00:00,BingX,Hyperliquid,0.005,-0.0351,0.0401,2.0,2.68(0.0536%),-0.68,-0.0675,-0.2,False
2025-08-20 20:00:00,Binance,Hyperliquid,0.0032,-0.0351,0.0383,1.92,2.68(0.0536%),-0.77,-0.0765,-0.23,False
2025-08-20 12:00:00,BingX,KuCoin,0.005,-0.0485,0.0535,2.67,2.68(0.0536%),-0.01,-0.0005,-0.0,False
2025-08-20 12:00:00,Gate,KuCoin,0.005,-0.0485,0.0535,2.67,2.68(0.0536%),-0.01,-0.0005,-0.0,False
2025-08-20 12:00:00,OKX,KuCoin,0.005,-0.0485,0.0535,2.67,2.68(0.0536%),-0.01,-0.0005,-0.0,False
2025-08-20 12:00:00,Hyperliquid,KuCoin,0.004,-0.0485,0.0525,2.63,2.68(0.0536%),-0.05,-0.0055,-0.02,False
2025-08-20 12:00:00,Bybit,KuCoin,0.0025,-0.0485,0.051,2.55,2.68(0.0536%),-0.13,-0.013,-0.04,False
2025-08-20 04:00:00,Gate,CoinEx,0.005,-0.0306,0.0356,1.78,2.68(0.0536%),-0.9,-0.09,-0.27,False
2025-08-20 04:00:00,BingX,CoinEx,0.0025,-0.0306,0.0331,1.65,2.68(0.0536%),-1.03,-0.1025,-0.31,False
2025-08-20 04:00:00,Bybit,CoinEx,0.0025,-0.0306,0.0331,1.65,2.68(0.0536%),-1.03,-0.1025,-0.31,False
2025-08-20 04:00:00,Gate,OKX,0.005,-0.0239,0.0289,1.45,2.68(0.0536%),-1.24,-0.1235,-0.37,False
2025-08-20 04:00:00,BingX,OKX,0.0025,-0.0239,0.0264,1.32,2.68(0.0536%),-1.36,-0.136,-0.41,False
2025-08-19 20:00:00,BingX,CoinEx,-0.0089,-0.0943,0.0854,4.27,2.68(0.0536%),1.59,0.159,0.48,False
2025-08-19 20:00:00,Bybit,CoinEx,-0.018,-0.0943,0.0763,3.81,2.68(0.0536%),1.13,0.1135,0.34,False
2025-08-19 20:00:00,BingX,Hyperliquid,-0.0089,-0.0807,0.0718,3.59,2.68(0.0536%),0.91,0.091,0.27,False
2025-08-19 20:00:00,BingX,KuCoin,-0.0089,-0.0747,0.0658,3.29,2.68(0.0536%),0.61,0.061,0.18,False
2025-08-19 20:00:00,Gate,CoinEx,-0.0314,-0.0943,0.0629,3.15,2.68(0.0536%),0.46,0.0465,0.14,False
2025-08-19 12:00:00,Gate,Hyperliquid,-0.0049,-0.0963,0.0914,4.57,2.68(0.0536%),1.89,0.189,0.57,False
2025-08-19 12:00:00,BingX,Hyperliquid,-0.005,-0.0963,0.0913,4.56,2.68(0.0536%),1.88,0.1885,0.57,False
2025-08-19 12:00:00,Bitget,Hyperliquid,-0.0093,-0.0963,0.087,4.35,2.68(0.0536%),1.67,0.167,0.5,False
2025-08-19 12:00:00,Bybit,Hyperliquid,-0.0172,-0.0963,0.0791,3.96,2.68(0.0536%),1.27,0.1275,0.38,False
2025-08-19 12:00:00,Gate,CoinEx,-0.0049,-0.0694,0.0645,3.23,2.68(0.0536%),0.55,0.0545,0.16,False
2025-08-19 04:00:00,BingX,CoinEx,0.005,-0.1451,0.1501,7.51,2.68(0.0536%),4.83,0.4825,1.45,False
2025-08-19 04:00:00,Bitget,CoinEx,0.005,-0.1451,0.1501,7.51,2.68(0.0536%),4.83,0.4825,1.45,False
2025-08-19 04:00:00,Gate,CoinEx,0.005,-0.1451,0.1501,7.51,2.68(0.0536%),4.83,0.4825,1.45,False
2025-08-19 04:00:00,Bybit,CoinEx,-0.0092,-0.1451,0.1359,6.8,2.68(0.0536%),4.12,0.4115,1.23,False
2025-08-19 04:00:00,OKX,CoinEx,-0.0255,-0.1451,0.1196,5.98,2.68(0.0536%),3.3,0.33,0.99,False
2025-08-18 20:00:00,Hyperliquid,CoinEx,0.0089,-0.0387,0.0476,2.38,2.68(0.0536%),-0.3,-0.03,-0.09,False
2025-08-18 20:00:00,Gate,CoinEx,0.005,-0.0387,0.0437,2.18,2.68(0.0536%),-0.5,-0.0495,-0.15,False
2025-08-18 20:00:00,BingX,CoinEx,0.005,-0.0387,0.0437,2.18,2.68(0.0536%),-0.5,-0.0495,-0.15,False
2025-08-18 20:00:00,Bitget,CoinEx,0.005,-0.0387,0.0437,2.18,2.68(0.0536%),-0.5,-0.0495,-0.15,False
2025-08-18 20:00:00,Bybit,CoinEx,0.0025,-0.0387,0.0412,2.06,2.68(0.0536%),-0.62,-0.062,-0.19,False
2025-08-18 12:00:00,Hyperliquid,CoinEx,0.0068,-0.0285,0.0353,1.76,2.68(0.0536%),-0.92,-0.0915,-0.27,False
2025-08-18 12:00:00,Gate,CoinEx,0.005,-0.0285,0.0335,1.68,2.68(0.0536%),-1.01,-0.1005,-0.3,False
2025-08-18 12:00:00,BingX,CoinEx,0.005,-0.0285,0.0335,1.68,2.68(0.0536%),-1.01,-0.1005,-0.3,False
2025-08-18 12:00:00,Bitget,CoinEx,0.005,-0.0285,0.0335,1.68,2.68(0.0536%),-1.01,-0.1005,-0.3,False
2025-08-18 12:00:00,Bybit,CoinEx,0.0025,-0.0285,0.031,1.55,2.68(0.0536%),-1.13,-0.113,-0.34,False
2025-08-18 04:00:00,Hyperliquid,Binance,0.01,-0.0246,0.0346,1.73,2.68(0.0536%),-0.95,-0.095,-0.29,False
2025-08-18 04:00:00,Hyperliquid,Bitunix,0.01,-0.0245,0.0345,1.73,2.68(0.0536%),-0.96,-0.0955,-0.29,False
