Time,Short@,Long@,Short(%),Long(%),AbsSpread(%),GrossPnL,BorrowCost(0.0107%/h),NetPnL,ROI(%),ROI_day(%),BelowMin
2025-08-21 19:55:00,Crypto.com,CoinEx,0.0118,-0.0289,0.0407,2.04,4.28(0.0856%),-2.25,-0.2245,-0.67,False
2025-08-21 19:55:00,Bitget,CoinEx,0.005,-0.0289,0.0339,1.7,4.28(0.0856%),-2.58,-0.2585,-0.78,False
2025-08-21 19:55:00,BingX,CoinEx,0.005,-0.0289,0.0339,1.7,4.28(0.0856%),-2.58,-0.2585,-0.78,False
2025-08-21 19:55:00,KuCoin,CoinEx,0.0045,-0.0289,0.0334,1.67,4.28(0.0856%),-2.61,-0.261,-0.78,False
2025-08-21 19:55:00,Crypto.com,Bitunix,0.0118,-0.0199,0.0317,1.58,4.28(0.0856%),-2.7,-0.2695,-0.81,False
2025-08-21 12:00:00,Crypto.com,CoinEx,0.0242,-0.0271,0.0513,2.56,4.28(0.0856%),-1.72,-0.1715,-0.51,False
2025-08-21 12:00:00,Crypto.com,HTX,0.0242,-0.0059,0.0301,1.5,4.28(0.0856%),-2.78,-0.2775,-0.83,False
2025-08-21 12:00:00,Crypto.com,Bitunix,0.0242,-0.0058,0.03,1.5,4.28(0.0856%),-2.78,-0.278,-0.83,False
2025-08-21 12:00:00,Crypto.com,MEXC,0.0242,-0.0058,0.03,1.5,4.28(0.0856%),-2.78,-0.278,-0.83,False
2025-08-21 12:00:00,Crypto.com,Binance,0.0242,-0.0058,0.03,1.5,4.28(0.0856%),-2.78,-0.278,-0.83,False
2025-08-21 04:00:00,Gate,Crypto.com,0.0025,-0.0804,0.0829,4.14,4.28(0.0856%),-0.14,-0.0135,-0.04,False
2025-08-21 04:00:00,Bybit,Crypto.com,0.0025,-0.0804,0.0829,4.14,4.28(0.0856%),-0.14,-0.0135,-0.04,False
2025-08-21 04:00:00,BingX,Crypto.com,0.0025,-0.0804,0.0829,4.14,4.28(0.0856%),-0.14,-0.0135,-0.04,False
2025-08-21 04:00:00,OKX,Crypto.com,-0.001,-0.0804,0.0794,3.97,4.28(0.0856%),-0.31,-0.031,-0.09,False
2025-08-21 04:00:00,KuCoin,Crypto.com,-0.0037,-0.0804,0.0767,3.83,4.28(0.0856%),-0.45,-0.0445,-0.13,False
2025-08-20 20:00:00,Gate,Binance,-0.0013,-0.0394,0.0381,1.9,4.28(0.0856%),-2.38,-0.2375,-0.71,False
2025-08-20 20:00:00,Gate,MEXC,-0.0013,-0.0393,0.038,1.9,4.28(0.0856%),-2.38,-0.238,-0.71,False
2025-08-20 20:00:00,Gate,Bitunix,-0.0013,-0.0393,0.038,1.9,4.28(0.0856%),-2.38,-0.238,-0.71,False
2025-08-20 20:00:00,Gate,Bitget,-0.0013,-0.0315,0.0302,1.51,4.28(0.0856%),-2.77,-0.277,-0.83,False
2025-08-20 20:00:00,BingX,Binance,-0.0112,-0.0394,0.0282,1.41,4.28(0.0856%),-2.87,-0.287,-0.86,False
2025-08-20 12:00:00,Gate,CoinEx,0.0025,-0.0428,0.0453,2.27,4.28(0.0856%),-2.02,-0.2015,-0.6,False
2025-08-20 12:00:00,Bybit,CoinEx,0.0025,-0.0428,0.0453,2.27,4.28(0.0856%),-2.02,-0.2015,-0.6,False
2025-08-20 12:00:00,BingX,CoinEx,0.0025,-0.0428,0.0453,2.27,4.28(0.0856%),-2.02,-0.2015,-0.6,False
2025-08-20 12:00:00,BingX,Crypto.com,0.0025,-0.0376,0.0401,2.01,4.28(0.0856%),-2.27,-0.2275,-0.68,False
2025-08-20 12:00:00,Gate,Crypto.com,0.0025,-0.0376,0.0401,2.01,4.28(0.0856%),-2.27,-0.2275,-0.68,False
2025-08-20 04:00:00,BingX,Crypto.com,0.0025,-0.0726,0.0751,3.76,4.28(0.0856%),-0.52,-0.0525,-0.16,False
2025-08-20 04:00:00,Bybit,Crypto.com,0.0025,-0.0726,0.0751,3.76,4.28(0.0856%),-0.52,-0.0525,-0.16,False
2025-08-20 04:00:00,Gate,Crypto.com,-0.0037,-0.0726,0.0689,3.45,4.28(0.0856%),-0.83,-0.0835,-0.25,False
2025-08-20 04:00:00,Bitget,Crypto.com,-0.0093,-0.0726,0.0633,3.17,4.28(0.0856%),-1.12,-0.1115,-0.33,False
2025-08-20 04:00:00,BingX,CoinEx,0.0025,-0.0592,0.0617,3.08,4.28(0.0856%),-1.2,-0.1195,-0.36,False
2025-08-19 20:00:00,KuCoin,Crypto.com,0.0002,-0.0553,0.0555,2.78,4.28(0.0856%),-1.5,-0.1505,-0.45,False
2025-08-19 20:00:00,Gate,Crypto.com,-0.0006,-0.0553,0.0547,2.73,4.28(0.0856%),-1.55,-0.1545,-0.46,False
2025-08-19 20:00:00,BingX,Crypto.com,-0.0055,-0.0553,0.0498,2.49,4.28(0.0856%),-1.79,-0.179,-0.54,False
2025-08-19 20:00:00,HTX,Crypto.com,-0.0059,-0.0553,0.0494,2.47,4.28(0.0856%),-1.81,-0.181,-0.54,False
2025-08-19 20:00:00,Bybit,Crypto.com,-0.0063,-0.0553,0.049,2.45,4.28(0.0856%),-1.83,-0.183,-0.55,False
2025-08-19 12:00:00,Gate,Crypto.com,0.0025,-0.0967,0.0992,4.96,4.28(0.0856%),0.68,0.068,0.2,False
2025-08-19 12:00:00,Bybit,Crypto.com,0.0025,-0.0967,0.0992,4.96,4.28(0.0856%),0.68,0.068,0.2,False
2025-08-19 12:00:00,BingX,Crypto.com,0.0025,-0.0967,0.0992,4.96,4.28(0.0856%),0.68,0.068,0.2,False
2025-08-19 12:00:00,Bitget,Crypto.com,-0.0083,-0.0967,0.0884,4.42,4.28(0.0856%),0.14,0.014,0.04,False
2025-08-19 12:00:00,HTX,Crypto.com,-0.0124,-0.0967,0.0843,4.21,4.28(0.0856%),-0.07,-0.0065,-0.02,False
2025-08-19 04:00:00,KuCoin,Crypto.com,-0.0104,-0.1508,0.1404,7.02,4.28(0.0856%),2.74,0.274,0.82,False
2025-08-19 04:00:00,Gate,Crypto.com,-0.0142,-0.1508,0.1366,6.83,4.28(0.0856%),2.55,0.255,0.76,False
2025-08-19 04:00:00,Bybit,Crypto.com,-0.0271,-0.1508,0.1237,6.18,4.28(0.0856%),1.9,0.1905,0.57,False
2025-08-19 04:00:00,Bitget,Crypto.com,-0.0361,-0.1508,0.1147,5.74,4.28(0.0856%),1.46,0.1455,0.44,False
2025-08-19 04:00:00,HTX,Crypto.com,-0.0433,-0.1508,0.1075,5.37,4.28(0.0856%),1.09,0.1095,0.33,False
2025-08-18 20:00:00,BingX,OKX,-0.0147,-0.0843,0.0696,3.48,4.28(0.0856%),-0.8,-0.08,-0.24,False
2025-08-18 20:00:00,BingX,Crypto.com,-0.0147,-0.0821,0.0674,3.37,4.28(0.0856%),-0.91,-0.091,-0.27,False
2025-08-18 20:00:00,Bitget,OKX,-0.0222,-0.0843,0.0621,3.1,4.28(0.0856%),-1.18,-0.1175,-0.35,False
2025-08-18 20:00:00,BingX,CoinEx,-0.0147,-0.0767,0.062,3.1,4.28(0.0856%),-1.18,-0.118,-0.35,False
2025-08-18 20:00:00,Bitget,Crypto.com,-0.0222,-0.0821,0.0599,3.0,4.28(0.0856%),-1.28,-0.1285,-0.39,False
2025-08-18 12:00:00,Gate,Crypto.com,-0.0127,-0.4326,0.4199,20.99,4.28(0.0856%),16.71,1.6715,5.01,False
2025-08-18 12:00:00,Bybit,Crypto.com,-0.0165,-0.4326,0.4161,20.8,4.28(0.0856%),16.52,1.6525,4.96,False
2025-08-18 12:00:00,KuCoin,Crypto.com,-0.0492,-0.4326,0.3834,19.17,4.28(0.0856%),14.89,1.489,4.47,False
2025-08-18 12:00:00,OKX,Crypto.com,-0.056,-0.4326,0.3766,18.83,4.28(0.0856%),14.55,1.455,4.36,False
2025-08-18 12:00:00,Binance,Crypto.com,-0.0576,-0.4326,0.375,18.75,4.28(0.0856%),14.47,1.447,4.34,False
2025-08-18 04:00:00,Gate,Crypto.com,0.0025,-0.0633,0.0658,3.29,4.28(0.0856%),-0.99,-0.099,-0.3,False
2025-08-18 04:00:00,BingX,Crypto.com,-0.0041,-0.0633,0.0592,2.96,4.28(0.0856%),-1.32,-0.132,-0.4,False
