Time,Short@,Long@,Short(%),Long(%),AbsSpread(%),GrossPnL,BorrowCost(0.004%/h),NetPnL,ROI(%),ROI_day(%),BelowMin
2025-08-18 16:23:00,KuCoin,Crypto.com,0.0242,-0.0208,0.045,2.25,1.6(0.032%),0.65,0.065,0.19,False
2025-08-18 16:23:00,HTX,Crypto.com,0.01,-0.0208,0.0308,1.54,1.6(0.032%),-0.06,-0.006,-0.02,False
2025-08-18 16:23:00,Bitmex,Crypto.com,0.01,-0.0208,0.0308,1.54,1.6(0.032%),-0.06,-0.006,-0.02,False
2025-08-18 16:23:00,Hyperliquid,Crypto.com,0.01,-0.0208,0.0308,1.54,1.6(0.032%),-0.06,-0.006,-0.02,False
2025-08-18 16:23:00,OKX,Crypto.com,0.005,-0.0208,0.0258,1.29,1.6(0.032%),-0.31,-0.031,-0.09,False
2025-08-18 12:00:00,Bitmex,Crypto.com,0.01,-0.06,0.07,3.5,1.6(0.032%),1.9,0.19,0.57,False
2025-08-18 12:00:00,Hyperliquid,Crypto.com,0.01,-0.06,0.07,3.5,1.6(0.032%),1.9,0.19,0.57,False
2025-08-18 12:00:00,HTX,Crypto.com,0.01,-0.06,0.07,3.5,1.6(0.032%),1.9,0.19,0.57,False
2025-08-18 12:00:00,Bybit,Crypto.com,0.005,-0.06,0.065,3.25,1.6(0.032%),1.65,0.165,0.49,False
2025-08-18 12:00:00,OKX,Crypto.com,0.005,-0.06,0.065,3.25,1.6(0.032%),1.65,0.165,0.49,False
2025-08-18 04:00:00,Bitmex,Crypto.com,0.01,-0.1235,0.1335,6.67,1.6(0.032%),5.07,0.5075,1.52,False
2025-08-18 04:00:00,Hyperliquid,Crypto.com,0.01,-0.1235,0.1335,6.67,1.6(0.032%),5.07,0.5075,1.52,False
2025-08-18 04:00:00,HTX,Crypto.com,0.01,-0.1235,0.1335,6.67,1.6(0.032%),5.07,0.5075,1.52,False
2025-08-18 04:00:00,Bybit,Crypto.com,0.005,-0.1235,0.1285,6.43,1.6(0.032%),4.83,0.4825,1.45,False
2025-08-18 04:00:00,OKX,Crypto.com,0.005,-0.1235,0.1285,6.43,1.6(0.032%),4.83,0.4825,1.45,False
2025-08-17 20:00:00,CoinEx,Crypto.com,0.0168,-0.0334,0.0502,2.51,1.6(0.032%),0.91,0.091,0.27,False
2025-08-17 20:00:00,HTX,Crypto.com,0.01,-0.0334,0.0434,2.17,1.6(0.032%),0.57,0.057,0.17,False
2025-08-17 20:00:00,Bitmex,Crypto.com,0.01,-0.0334,0.0434,2.17,1.6(0.032%),0.57,0.057,0.17,False
2025-08-17 20:00:00,Hyperliquid,Crypto.com,0.01,-0.0334,0.0434,2.17,1.6(0.032%),0.57,0.057,0.17,False
2025-08-17 20:00:00,OKX,Crypto.com,0.005,-0.0334,0.0384,1.92,1.6(0.032%),0.32,0.032,0.1,False
2025-08-17 12:00:00,CoinEx,KuCoin,0.0111,-0.0173,0.0284,1.42,1.6(0.032%),-0.18,-0.018,-0.05,False
2025-08-17 12:00:00,HTX,KuCoin,0.01,-0.0173,0.0273,1.36,1.6(0.032%),-0.24,-0.0235,-0.07,False
2025-08-17 12:00:00,Bitmex,KuCoin,0.01,-0.0173,0.0273,1.36,1.6(0.032%),-0.24,-0.0235,-0.07,False
2025-08-17 12:00:00,Hyperliquid,KuCoin,0.01,-0.0173,0.0273,1.36,1.6(0.032%),-0.24,-0.0235,-0.07,False
2025-08-17 12:00:00,BingX,KuCoin,0.005,-0.0173,0.0223,1.11,1.6(0.032%),-0.49,-0.0485,-0.15,False
2025-08-17 04:00:00,Crypto.com,KuCoin,0.0259,-0.0076,0.0335,1.68,1.6(0.032%),0.07,0.0075,0.02,False
2025-08-17 04:00:00,CoinEx,KuCoin,0.0194,-0.0076,0.027,1.35,1.6(0.032%),-0.25,-0.025,-0.08,False
2025-08-17 04:00:00,Crypto.com,Binance,0.0259,0.005,0.0209,1.04,1.6(0.032%),-0.56,-0.0555,-0.17,False
2025-08-17 04:00:00,Crypto.com,BingX,0.0259,0.005,0.0209,1.04,1.6(0.032%),-0.56,-0.0555,-0.17,False
2025-08-17 04:00:00,Crypto.com,Gate,0.0259,0.005,0.0209,1.04,1.6(0.032%),-0.56,-0.0555,-0.17,False
2025-08-16 20:00:00,Crypto.com,KuCoin,0.0382,-0.0059,0.0441,2.21,1.6(0.032%),0.6,0.0605,0.18,False
2025-08-16 20:00:00,CoinEx,KuCoin,0.0318,-0.0059,0.0377,1.89,1.6(0.032%),0.29,0.0285,0.09,False
2025-08-16 20:00:00,Crypto.com,Binance,0.0382,0.005,0.0332,1.66,1.6(0.032%),0.06,0.006,0.02,False
2025-08-16 20:00:00,Crypto.com,BingX,0.0382,0.005,0.0332,1.66,1.6(0.032%),0.06,0.006,0.02,False
2025-08-16 20:00:00,Crypto.com,Gate,0.0382,0.005,0.0332,1.66,1.6(0.032%),0.06,0.006,0.02,False
2025-08-16 12:00:00,Crypto.com,KuCoin,0.0445,-0.0046,0.0491,2.46,1.6(0.032%),0.85,0.0855,0.26,False
2025-08-16 12:00:00,Crypto.com,CoinEx,0.0445,0.0043,0.0402,2.01,1.6(0.032%),0.41,0.041,0.12,False
2025-08-16 12:00:00,Crypto.com,Binance,0.0445,0.005,0.0395,1.98,1.6(0.032%),0.38,0.0375,0.11,False
2025-08-16 12:00:00,Crypto.com,MEXC,0.0445,0.005,0.0395,1.98,1.6(0.032%),0.38,0.0375,0.11,False
2025-08-16 12:00:00,Crypto.com,Gate,0.0445,0.005,0.0395,1.98,1.6(0.032%),0.38,0.0375,0.11,False
2025-08-16 04:00:00,Crypto.com,Binance,0.0659,0.005,0.0609,3.05,1.6(0.032%),1.45,0.1445,0.43,False
2025-08-16 04:00:00,Crypto.com,OKX,0.0659,0.005,0.0609,3.05,1.6(0.032%),1.45,0.1445,0.43,False
2025-08-16 04:00:00,Crypto.com,Bybit,0.0659,0.005,0.0609,3.05,1.6(0.032%),1.45,0.1445,0.43,False
2025-08-16 04:00:00,Crypto.com,Bitget,0.0659,0.005,0.0609,3.05,1.6(0.032%),1.45,0.1445,0.43,False
2025-08-16 04:00:00,Crypto.com,Bitunix,0.0659,0.005,0.0609,3.05,1.6(0.032%),1.45,0.1445,0.43,False
2025-08-15 20:00:00,Bitmex,Crypto.com,0.01,-0.0115,0.0215,1.07,1.6(0.032%),-0.53,-0.0525,-0.16,False
2025-08-15 20:00:00,Hyperliquid,Crypto.com,0.01,-0.0115,0.0215,1.07,1.6(0.032%),-0.53,-0.0525,-0.16,False
2025-08-15 20:00:00,HTX,Crypto.com,0.01,-0.0115,0.0215,1.07,1.6(0.032%),-0.53,-0.0525,-0.16,False
2025-08-15 12:00:00,Bitmex,Crypto.com,0.01,-0.0371,0.0471,2.35,1.6(0.032%),0.75,0.0755,0.23,False
2025-08-15 12:00:00,Hyperliquid,Crypto.com,0.01,-0.0371,0.0471,2.35,1.6(0.032%),0.75,0.0755,0.23,False
2025-08-15 12:00:00,HTX,Crypto.com,0.01,-0.0371,0.0471,2.35,1.6(0.032%),0.75,0.0755,0.23,False
2025-08-15 12:00:00,Bybit,Crypto.com,0.005,-0.0371,0.0421,2.1,1.6(0.032%),0.5,0.0505,0.15,False
2025-08-15 12:00:00,OKX,Crypto.com,0.005,-0.0371,0.0421,2.1,1.6(0.032%),0.5,0.0505,0.15,False
2025-08-15 04:00:00,Bitmex,Crypto.com,0.01,-0.0799,0.0899,4.5,1.6(0.032%),2.9,0.2895,0.87,False
2025-08-15 04:00:00,Hyperliquid,Crypto.com,0.01,-0.0799,0.0899,4.5,1.6(0.032%),2.9,0.2895,0.87,False
2025-08-15 04:00:00,HTX,Crypto.com,0.01,-0.0799,0.0899,4.5,1.6(0.032%),2.9,0.2895,0.87,False
2025-08-15 04:00:00,Bybit,Crypto.com,0.005,-0.0799,0.0849,4.25,1.6(0.032%),2.65,0.2645,0.79,False
2025-08-15 04:00:00,OKX,Crypto.com,0.005,-0.0799,0.0849,4.25,1.6(0.032%),2.65,0.2645,0.79,False
2025-08-14 20:00:00,Bitmex,Crypto.com,0.01,-0.0748,0.0848,4.24,1.6(0.032%),2.64,0.264,0.79,False
2025-08-14 20:00:00,Hyperliquid,Crypto.com,0.01,-0.0748,0.0848,4.24,1.6(0.032%),2.64,0.264,0.79,False
2025-08-14 20:00:00,HTX,Crypto.com,0.01,-0.0748,0.0848,4.24,1.6(0.032%),2.64,0.264,0.79,False
2025-08-14 20:00:00,OKX,Crypto.com,0.005,-0.0748,0.0798,3.99,1.6(0.032%),2.39,0.239,0.72,False
2025-08-14 20:00:00,Bitget,Crypto.com,0.005,-0.0748,0.0798,3.99,1.6(0.032%),2.39,0.239,0.72,False
2025-08-14 12:00:00,Crypto.com,KuCoin,0.0438,-0.0213,0.0651,3.25,1.6(0.032%),1.65,0.1655,0.5,False
2025-08-14 12:00:00,Crypto.com,Bybit,0.0438,0.005,0.0388,1.94,1.6(0.032%),0.34,0.034,0.1,False
2025-08-14 12:00:00,Crypto.com,Binance,0.0438,0.005,0.0388,1.94,1.6(0.032%),0.34,0.034,0.1,False
2025-08-14 12:00:00,Crypto.com,MEXC,0.0438,0.005,0.0388,1.94,1.6(0.032%),0.34,0.034,0.1,False
2025-08-14 12:00:00,Crypto.com,Bitget,0.0438,0.005,0.0388,1.94,1.6(0.032%),0.34,0.034,0.1,False
2025-08-14 04:00:00,Crypto.com,Bitunix,0.1255,0.0051,0.1204,6.02,1.6(0.032%),4.42,0.442,1.33,False
2025-08-14 04:00:00,Crypto.com,MEXC,0.1255,0.0053,0.1202,6.01,1.6(0.032%),4.41,0.441,1.32,False
2025-08-14 04:00:00,Crypto.com,Binance,0.1255,0.0056,0.1199,6.0,1.6(0.032%),4.39,0.4395,1.32,False
2025-08-14 04:00:00,Crypto.com,Gate,0.1255,0.0069,0.1186,5.93,1.6(0.032%),4.33,0.433,1.3,False
2025-08-14 04:00:00,Crypto.com,Bybit,0.1255,0.007,0.1185,5.92,1.6(0.032%),4.32,0.4325,1.3,False
2025-08-13 20:00:00,Hyperliquid,Binance,0.0613,0.005,0.0563,2.81,1.6(0.032%),1.21,0.1215,0.36,False
2025-08-13 20:00:00,Hyperliquid,OKX,0.0613,0.005,0.0563,2.81,1.6(0.032%),1.21,0.1215,0.36,False
2025-08-13 20:00:00,Hyperliquid,Bybit,0.0613,0.005,0.0563,2.81,1.6(0.032%),1.21,0.1215,0.36,False
2025-08-13 20:00:00,Hyperliquid,Gate,0.0613,0.005,0.0563,2.81,1.6(0.032%),1.21,0.1215,0.36,False
2025-08-13 20:00:00,Hyperliquid,MEXC,0.0613,0.005,0.0563,2.81,1.6(0.032%),1.21,0.1215,0.36,False
2025-08-13 12:00:00,Crypto.com,Binance,0.1279,0.005,0.1229,6.15,1.6(0.032%),4.54,0.4545,1.36,False
